Date,Ticker,Close,Open,High,Low,Volume
2022-01-03,RELIANCE,2437.68,2441.3164904207965,2466.2934893574816,2409.0455006327816,6698618
2022-01-04,RELIANCE,2433.81,2439.9443598444113,2472.960828963926,2406.877611832846,6438503
2022-01-05,RELIANCE,2456.73,2436.7944463491062,2481.0844871157888,2427.6534416663144,1695532
2022-01-06,RELIANCE,2509.97,2458.290351441997,2534.0533383163624,2453.3963691898207,1295866
2022-01-07,RELIANCE,2502.62,2511.9004336345715,2516.756260122424,2479.2741534753,1797057
2022-01-10,RELIANCE,2495.3,2506.1156160860814,2526.8103978523836,2489.5247629706973,5392541
2022-01-11,RELIANCE,2551.34,2492.8013863300257,2559.2551904996235,2466.6293145518534,7236893
2022-01-12,RELIANCE,2579.64,2551.2320779469655,2608.852031060025,2529.98061529529,7822603
2022-01-13,RELIANCE,2563.59,2576.763282897982,2597.8182911163176,2533.248389499156,6155115
2022-01-14,RELIANCE,2583.96,2568.590723314481,2611.1514992130847,2553.093553950896,7926730
2022-01-17,RELIANCE,2568.1,2588.5497262855065,2592.6484892680614,2564.776199626326,2805518
2022-01-18,RELIANCE,2552.26,2563.368807977102,2568.975121712441,2535.539898050308,6526863
2022-01-19,RELIANCE,2561.79,2554.35872515922,2590.042771292271,2528.8391416701957,4435088
2022-01-20,RELIANCE,2494.07,2566.147587548289,2571.303441764759,2479.2787788053024,3936537
2022-01-21,RELIANCE,2434.72,2490.883330204087,2495.8591042692665,2402.3890840798254,4623425
2022-01-24,RELIANCE,2416.4,2435.3817104469244,2438.2299347851695,2410.2169812217467,4599537
2022-01-25,RELIANCE,2382.98,2420.415943689167,2455.248196917327,2364.0190459024107,3146674
2022-01-26,RELIANCE,2394.3,2378.5376103522017,2421.415727710738,2357.8226798599253,7521689
2022-01-27,RELIANCE,2364.7,2396.1907333834765,2410.437332639362,2348.625022513584,7689558
2022-01-28,RELIANCE,2318.77,2362.783164790935,2374.955037864917,2304.2706710852826,6616273
2022-01-31,RELIANCE,2367.17,2322.706308663813,2381.1264679210044,2290.1997116849,7298941
2022-02-01,RELIANCE,2360.51,2371.6302997848325,2399.7226150940014,2347.6608968761807,6667551
2022-02-02,RELIANCE,2363.57,2364.704781960869,2388.9647341958816,2336.1219644630073,7010224
2022-02-03,RELIANCE,2317.25,2363.3262139842604,2371.8170257618126,2305.6529443274626,2982847
2022-02-04,RELIANCE,2300.4,2320.60577333202,2328.582926908093,2292.3842265740195,3209853
2022-02-07,RELIANCE,2304.78,2303.5704057455605,2310.2597045576504,2294.944500015612,5091685
2022-02-08,RELIANCE,2268.45,2303.1122655548866,2326.705895918569,2251.9697414732295,1207352
2022-02-09,RELIANCE,2281.17,2271.4345132293483,2307.862465802325,2253.904441376832,2675502
2022-02-10,RELIANCE,2262.79,2276.9453428243355,2287.6712353956555,2233.374326151829,1184514
2022-02-11,RELIANCE,2254.34,2263.6613540733215,2266.58878761127,2244.9954137697973,7736549
2022-02-14,RELIANCE,2236.14,2251.905392489005,2256.747897376894,2211.0946312078895,1798658
2022-02-15,RELIANCE,2294.91,2232.7461377438476,2328.301033415926,2214.7808726947355,7909149
2022-02-16,RELIANCE,2295.28,2291.0265826878035,2307.069078843877,2265.7790969988164,2857596
2022-02-17,RELIANCE,2262.09,2297.0821508059903,2324.116795637197,2232.3968952232117,2258624
2022-02-18,RELIANCE,2288.93,2260.6411310271606,2311.236286557206,2246.656370397028,6929949
2022-02-21,RELIANCE,2250.61,2290.9879016254213,2305.5291568373896,2218.562773092499,7328475
2022-02-22,RELIANCE,2257.98,2246.697146536662,2266.7401081400926,2236.5443968965265,1962452
2022-02-23,RELIANCE,2196.82,2256.311717108059,2262.4024271914386,2173.6352343299177,6504377
2022-02-24,RELIANCE,2156.74,2197.167021043664,2218.282195017156,2124.392966969067,5783725
2022-02-25,RELIANCE,2163.44,2159.248057114139,2189.065671889362,2142.3105006690807,2770394
2022-02-28,RELIANCE,2186.57,2161.8715276597736,2208.4677541313163,2130.86148404375,7671203
2022-03-01,RELIANCE,2186.02,2187.6710812279034,2206.1005252862483,2161.681670475027,7450054
2022-03-02,RELIANCE,2176.69,2189.395020308797,2192.870284524585,2165.58381110672,5136725
2022-03-03,RELIANCE,2161.74,2177.698792972338,2209.403567552954,2131.2111612770277,3750025
2022-03-04,RELIANCE,2111.27,2159.4309112598153,2185.737095777166,2104.4099325025904,7012340
2022-03-07,RELIANCE,2084.39,2107.2535265523074,2117.9994838517246,2053.2356209202644,3089934
2022-03-08,RELIANCE,2065.43,2087.4757215670816,2118.202497074146,2041.5857139383193,6735630
2022-03-09,RELIANCE,2090.52,2061.474861917011,2110.225957010731,2051.9357102041536,3926979
2022-03-10,RELIANCE,2095.04,2093.6532853631193,2114.217822721907,2071.518726615275,3514399
2022-03-11,RELIANCE,2037.78,2095.2824978130893,2119.3217252700915,2010.1201797877443,5663062
2022-03-14,RELIANCE,2041.62,2041.3588934987022,2066.8641760866476,2021.0336440905855,4795830
